882903286046760962,4915,182,278,0,16405,0
882903285048512512,1294,78,4613,0,51781,0
882903280241606657,712,35,1038,0,31606,0
882903279914688512,99,0,324,0,2518,0
882903273992105984,225,4,49,0,1617,0
882903262361296896,83,3,190,0,4509,0
882903261560291328,518,3,2231,0,1396,0
882903260138438656,214,0,25,0,45810,0
882903251686834176,2907,453,171,0,265712,0
882903250004918272,81,7,133,0,491,0
882903239351468032,34,1,108,0,90,0
882903234922336256,602,29,311,0,1386,0
882903234146213890,328,3,231,0,2387,0
882903232569368576,165,2,227,0,9836,0
882903232367820800,396,3,610,0,3088,0
882903230396588032,578,0,139,0,6919,0
882903224071602176,152,1,1542,0,13053,0
882903221991288833,168,4,144,0,3667,0
882903218811949057,451,29,950,0,4083,0
882903214978469894,122,0,99,0,0,0
882903213069877250,6,0,156,0,521,0
882903212700954625,795,67,0,0,0,0
882903211056676865,9,0,15,0,334,0
882903208292646912,74,1,144,0,5408,0
882903206581354496,243,54,795,0,157,0
882903206350659585,124,8,599,0,7736,0
882903198742138880,518,3,2231,0,1396,0
882903198586945537,91,0,123,0,3522,0
882903196120735744,218,2,240,0,436,0
882903193528741890,174,15,535,0,641,0
882903190861000705,1140,10,3485,0,933,0
882903188264955904,2,0,65,0,0,0
882903186822057984,12413,69,42,0,30251,0
882903186402496512,56,6,626,0,251,0
882903181478572032,17,0,265,0,161,0
882903174914363393,845,62,501,0,36992,0
882903144887328768,1136,7,98,0,26548,0
882903139866861568,249,28,842,0,4414,0
882903139212382208,783,11,332,0,13257,0
882903137585123329,157,1,0,0,0,0
882903136234463232,74557,408,743,0,19543,1
882903134363803648,3976,131,100,0,771,0
882903133235666945,165,2,227,0,9836,0
882903132979769344,75,5,129,0,9257,0
882903127065739264,264,16,279,0,15430,0
882903123035123713,77,0,219,0,1080,0
882903114625556480,177,2,397,0,2220,0
882903109172953089,363,7,721,0,7467,0
882903108367659008,17,0,364,0,1161,0
882903108199882752,1134,6,1503,0,26846,0
882903104534065153,10322,289,11353,0,249660,0
882903104492122112,18,0,336,0,261,0
882903104152379392,3315,13,470,0,23004,0
882903102432694272,28,6,8,0,254,0
882903100377276417,41,0,101,0,436,1
882903098598883329,56,6,626,0,251,0
882903096262664192,50,0,35,0,1065,0
882903096225128449,222,5,366,0,4620,0
882903093171691521,1549,170,3959,0,81117,0
882903084032294912,51,3,0,0,0,0
882903077312897027,36370,30,3031,0,94,0
882903074158723073,568,17,1027,0,21592,0
882903072963538944,548,43,403,0,29897,0
882903070908207104,145,9,354,0,509,0
882903055246569473,348,9,631,0,1172,0
882903050096001024,0,0,18,0,13,0
882903049991315456,71,0,640,0,4124,0
882903047445151744,45,0,354,0,15,0
882903046463926272,817,0,660,0,2405,0
882903044777582596,172,0,157,0,1804,0
882903043372498944,123,14,938,0,10919,0
882903042194116608,157,3,467,0,8539,0
882903040201814016,2186,14,2225,0,2434,0
882903038146613248,824,84,2880,0,32625,0
882903037106204672,613,34,1291,0,9411,0
882903035512533000,213,0,608,0,3678,0
882903030601060352,4,0,222,0,21,0
882903019028983808,613,109,651,0,15004,0
882903018055782400,414,52,242,0,340,0
882903017510494208,1354,148,2171,0,15900,0
882903016671776770,121,0,351,0,328,0
882903016361381889,569,29,180,0,2163,0
882903015522435072,2175,5,1435,0,8925,0
882903010426400768,688,2,59,0,15250,0
882903007825772545,824,84,2880,0,32625,0
882903006793973760,138,4,843,0,11951,0
882903002868264960,97,14,206,0,5393,0
882903000125243392,24,0,90,0,72,0
882902997428301824,3315,13,470,0,23004,0
882902995221979136,60,2,254,0,300,0
882902994567577600,144,4,70,0,1270,0
882902994102001664,9,0,89,0,41,0
882902993116516353,20220,121,6172,0,3624,0
882902992915013633,819,19,339,0,23911,0
882902986627833857,62,0,113,0,1514,0
882902983700250624,343,0,373,0,2905,0
882902981976481792,3,0,3,0,1,1
882902977656344576,9060,45,4702,0,60961,0
